# lambda    N     K_sim    K_teorico
0.10    500    0.9970    0.9973
0.10    1000   0.9980    0.9996
0.10    2000   1.0000    0.9985
0.30    500    0.9770    0.9920
0.30    1000   0.9750    0.9764
0.30    2000   0.9850    0.9766
0.50    500    0.9370    0.9083
0.50    1000   0.9360    0.9278
0.50    2000   0.9420    0.8948
0.70    500    0.8370    0.7362
0.70    1000   0.8170    0.8506
0.70    2000   0.8250    0.7141
1.00    500    0.5000    0.0000
1.00    1000   0.4980    0.0000
1.00    2000   0.4720    0.0000
